id;street_address;postal_code;city;state_province
1;psst;legal within;Joelberg;round
2;yawningly ew;dearly geez quintessential;Kearny;quadruple whenever
3;around however;stoop toaster;Greenholtchester;declaration
4;properly ack madly;if softly;New Russell;catalyze
5;broadside whereas;prime;Ahmadland;caption
6;given;fork dazzling seldom;Davisbury;widow
7;but pushy indeed;of;Port Delphaborough;tectonics absent
8;crossly brr;membership in willing;Hendersonbury;quart farmer
9;yuck;until;New Kenyatta;ugh apud
10;ha oh boohoo;below;Olympia;perfectly animated
